亜	⠠⠁⠃	⠃⠊
拶		⢃⡪
撮	⠢⠱⠎	⣧⡾
擦	⠢⠱⠋	⡗⡾
札	⠢⠱⠭	⢇⡨
殺	⠢⠱⠪	⣷⡜
雑	⠢⠢⠅	⣁⠎
皿	⠨⠸⠱	⠑⢌
三	⠐⠼⠉	⢡⠚
傘	⠸⠱⠡	⠧⡊
参	⠸⠱⠵	⠃⠚
山	⠸⠱⠔	⡑⠊
惨	⠸⠱⠷	⠳⠚
散	⠸⠱⠗	⠣⢸
桟	⠸⠱⠣	⢇⠤⣬
産	⠸⠱⠉	⡱⠎
算	⠸⠱⠕	⣷⡼
蚕	⠸⠱⠪	⣳⣺
賛	⠸⠱⠛	⡡⢞
酸	⠸⠱⠎	⢷⠘
斬		⣳⡨
暫	⠸⠢⠧	⣳⣺
残	⠸⠢⠎	⣕⣬
仕	⠰⠳⠇	⡃⡺
伺	⠢⠍⠉	⡃⢘
使	⠰⠳⠝	⢑⢘
刺	⠢⠍⠱	⢇⡚
司	⠢⠍⠚	⠑⢘
史	⠰⠳⠚	⠷⡊
嗣	⠰⠳⠩	⣗⢘
四	⠐⠼⠙	⢡⠺
士	⠰⠳⠑	⡳⠊
始	⠰⠳⠥	⣓⡊
姉	⠰⠳⠁	⣓⢮
姿	⠰⠳⠹	⣓⣨
子	⠰⠳⠪	⢕
市	⠢⠍⠃	⢧
師	⠰⠳⠣	⢧⠪
志	⠢⠍⠪	⡳⢬
思	⠰⠳⠊	⡣⢬
指	⠰⠳⠬	⡷⡎
支	⠰⠳⠱	⣃⠌
施	⠰⠳⠮	⣕⡮
旨	⠰⠳⠽	⠑⡎
枝	⠰⠳⠋	⢇⣊
止	⠰⠳⠎	⣡
死	⠰⠳⠳	⣕⠌
氏	⠰⠳⠉	⠃⣨
祉	⠢⠍⠳	⡗⣨
私	⠰⠳⠄	⡕
糸	⠰⠳⠃	⠇
紙	⠰⠳⠡	⠇⣨
紫	⠢⠍⠽	⢧⣺
肢	⠰⠳⠙	⢅⣊
脂	⠢⠍⠁	⢅⡎
至	⠠⠔⠃	⠑⣘
視	⠢⠍⠇	⡗⣾
詞	⠢⠍⠅	⠗⢘
詩	⠰⠳⠅	⡥⢮
試	⠰⠳⠕	⡥⣬
誌	⠠⠔⠅	⡥⢬
諮	⠠⠔⠥	⡥⣨
資	⠰⠳⠛	⢱⡨
賜	⠢⠍⠕	⡡⢨
雌	⠰⠳⠿	⠱⠎
飼	⠢⠍⠡	⢷⢘
歯	⠢⠍⠥	⣡⡜
事	⠰⠦⠪	⢕⡼
似	⠰⠦⠇	⡃⣼
侍	⠰⠦⠑	⢧⡊
児	⠰⠦⠧	⢕⠬
字	⠰⠦⠉	⠓⢜
寺	⠰⠦⠟	⡳⢮
慈	⠰⠦⠩	⡅⢬
持	⠰⠦⠾	⡷⢮
時	⠰⠦⠎	⣳⢮
次	⠰⠦⠝	⢱⣨
滋	⠰⠦⠱	⡇⡌
治	⠰⠦⠊	⢱⡊
璽	⠲⠰⠦⠊	⣷⣞
磁	⠰⠦⠃	⣣⡌
示	⠰⠦⠳	⡗
耳	⠰⠦⠷	⣧
自	⠰⠦⠡	⣷⠊
辞	⠰⠦⠅	⢷⣪
鹿		⢵⠸
式	⠲⠳⠄	⣥⠌
識	⠲⠳⠅	⠗⣌
軸	⠲⠦⠬	⣳⡪
七	⠐⠼⠛	⢡⠾
叱		⠷⣎
執	⠢⠳⠎	⡳⠜
失	⠢⠳⠅	⢁⢞
嫉		⣓⡑⠨
室	⠢⠳⠉	⠓⣘
湿	⠢⠳⠳	⡇⠎
漆	⠢⠳⠙	⡇⢎
疾	⠢⠳⠔	⡑⠨
質	⠢⠳⠛	⡡⡨
実	⠢⠦⠷	⠓⣊
芝	⠠⠔⠳	⢥⡜
舎	⠠⠱⠚	⠧⢾
写	⠠⠱⠉	⠥⠊
射	⠠⠱⠃	⣧⢮
捨	⠠⠱⠹	⡷⢾
赦	⠠⠱⠁	⢃⢸
斜	⠠⠱⠅	⠧⡼
煮	⠠⠱⠇	⣱⣌
社	⠠⠱⠳	⡗⡺
者	⠠⠱⠾	⡵⣌
謝	⠠⠱⠪	⠗⣮
車	⠠⠱⠩	⣳
遮	⠠⠱⠱	⣇⡸
蛇	⠠⠢⠯	⣳⣎
邪	⠠⠢⠍	⣷⢪
借	⠠⠳⠡	⡃⡞
尺	⠠⠳⠏	⠱⡪
爵	⠠⠳⠃	⣁⡘
酌	⠠⠳⠩	⢷⠰⣼
釈	⠠⠳⠎	⡣⡜
若	⠲⠢⠡	⢓⢨
寂	⠲⠢⠱	⠓⠚
弱	⠲⠢⠜	⣑⣘
主	⠠⠹⠍	⣗⡈
取	⠠⠹⠎	⣧⡬
守	⠠⠹⠵	⠓⢮
手	⠠⠹⠟	⡷
朱	⠠⠹⠣	⠡⢊
殊	⠠⠹⠪	⣕⢊
狩	⠠⠹⠫	⢗⢮
珠	⠠⠹⠉	⣗⢊
種	⠠⠹⠕	⡕⠮
腫		⢅⠮
趣	⠠⠹⠊	⣃⡬
酒	⠠⠹⠱	⢷⡎
首	⠠⠹⠩	⠕⠘
儒	⠠⠲⠇	⡃⡜
受	⠠⠲⠉	⣁⡬
呪		⣥⠬
寿	⠠⠲⠪	⣗⢮
授	⠠⠲⠱	⡷⣈
樹	⠠⠲⠣	⢇⣘
需	⠠⠲⠁	⡧⡜
囚	⠢⠬⠇	⣥⡊
収	⠠⠬⠊	⣗⡬
周	⠠⠬⠵	⣥⡺
宗	⠠⠬⠉	⠓⡞
就	⠠⠬⠝	⣁⢘
州	⠠⠬⠹	⢃⠘
修	⠠⠬⠇	⡃⠚
愁	⠢⠬⠉	⡕⢬
拾	⠠⠬⠚	⡷⣬
秀	⠠⠬⠧	⡕⡌
秋	⠢⠬⠁	⡕⣸
終	⠢⠬⠊	⠇⢺
習	⠠⠬⠅	⣳⣌
臭	⠠⠬⠩	⣷⢞
舟	⠠⠬⠭	⣓⠊
衆	⠠⠬⠗	⢅⢼
襲	⠠⠬⠺	⡗⢬
蹴		⣧⢘
週	⠠⠬⠥	⣇⡺
酬	⠠⠬⠎	⢷⢊
集	⠠⠬⠁	⢇⠎
醜	⠠⠬⠷	⢷⠜
住	⠸⠬⠹	⡃⣞
充	⠸⠬⠧	⣁⣈
十	⠐⠼⠴	⠵
従	⠸⠬⠳	⣑⡸
柔	⠸⠬⠔	⢇⡸
汁	⠸⠬⠙	⡇⠤⠼
渋	⠸⠬⠱	⡇⣨
獣	⠸⠬⠫	⢗⣈
縦	⠸⠬⠕	⠇⡸
重	⠸⠬⠊	⣁⠮
銃	⠸⠬⠡	⢃⣈
叔	⠲⠹⠵	⠓⡬
宿	⠲⠹⠔	⠥
淑	⠲⠹⠱	⡇⠚
祝	⠲⠹⠃	⡗⠬
縮	⠲⠹⠗	⠇⠬
粛	⠲⠹⠭	⡓⣘
塾	⠲⠲⠗	⠕⡺
熟	⠲⠲⠉	⠕⣸
出	⠢⠹⠁	⠱⣞
術	⠢⠲⠃	⣑⡎
述	⠢⠲⠎	⣃⡎
俊	⠸⠹⠇	⡃⣺
春	⠸⠹⠥	⢗⣌
瞬	⠸⠹⠵	⣷⣈
准	⠸⠲⠇	⢱⠎
循	⠸⠲⠎	⣑⣾
旬	⠸⠲⠧	⣳⢺
殉	⠸⠲⠜	⣕⢺
準	⠸⠲⠱	⢱⠼
潤	⠸⠲⠉	⢱⣞
盾	⠸⠲⠕	⡱⣾
純	⠸⠲⠃	⠇⣚
巡	⠸⠲⠿	⣃⢊
遵	⠸⠲⠥	⣇⢾
順	⠸⠲⠑	⠕⢊
処	⠠⠺⠄	⢳⣈
初	⠠⠺⠥	⡗⡚
所	⠠⠺⠎	⡵⡨
暑	⠠⠺⠁	⣳⣌
庶	⠠⠺⠏	⡱⡼
緒	⠠⠺⠃	⡅⣌
署	⠠⠺⠜	⢳⣌
書	⠠⠺⠡	⣳⣚
諸	⠠⠺⠅	⡥⣌
助	⠠⠴⠕	⡓⢼
叙	⠠⠴⠵	⠧⡬
女	⠠⠴⠊	⣓
序	⠠⠴⠏	⡱⡸
徐	⠠⠴⠇	⣑⣼
除	⠠⠴⠎	⢣⣼
傷	⠨⠍⠣	⢑⢨
償	⠨⠳⠝	⢑⡨
勝	⠨⠳⠡	⠣⢊
匠	⠨⠳⠥	⣵⡨
升	⠨⠔⠵	⠱⢚
召	⠨⠳⠿	⡓⣬
商	⠨⠳⠁	⣣⠞
唱	⠨⠳⠎	⠷⣌
奨	⠨⠍⠑	⣗⠸
宵	⠨⠳⠜	⠥⢼
将	⠨⠳⠑	⣗⠌
小	⠨⠳⠗	⠱⢼
少	⠨⠳⠹	⣕⢼
尚	⠨⠍⠗	⢁⣊
床	⠨⠳⠏	⡱⢎
彰	⠨⠔⠱	⣣⠚
承	⠨⠳⠉	⣣⢸
抄	⠨⠳⠋	⡷⢼
招	⠨⠍⠵	⡷⡚
掌	⠨⠍⠋	⣁⡾
昇	⠨⠳⠎	⣳⢚
昭	⠨⠳⠧	⣳⡚
晶	⠨⠍⠧	⣳⣈
松	⠨⠳⠵	⢥⢜
沼	⠨⠳⠍	⡇⡚
消	⠨⠳⠣	⡇⢼
渉	⠨⠳⠱	⣡⡎
焼	⠨⠳⠔	⣱⡺
焦	⠨⠍⠄	⠇⣸
照	⠨⠳⠟	⣳⣸
症	⠨⠍⠔	⡑⠎
省	⠨⠳⠅	⢵⣾
硝	⠨⠔⠃	⣣⢌
礁	⠨⠍⠳	⣣⣸
祥	⠨⠳⠳	⡗⡸
称	⠨⠍⠎	⡕⣈
章	⠨⠳⠕	⣣⠼
笑	⠨⠳⠄	⡧⢞
粧	⠨⠳⠪	⡕⡺
紹	⠨⠍⠃	⠇⡚
肖	⠨⠳⠙	⢵⢌
衝	⠨⠔⠎	⣑⠮
訟	⠨⠔⠅	⡥⢜
証	⠨⠍⠅	⡥⠎
詔	⠨⠍⠪	⠗⡚
詳	⠨⠳⠩	⡥⢼
象	⠨⠳⠃	⢵⢈
賞	⠨⠳⠛	⣁⡨
鐘	⠨⠍⠡	⢃⠮
障	⠨⠍⠍	⢣⠼
上	⠨⠦⠉	⠱⠚
丈	⠨⠦⠕	⠱⣸
乗	⠨⠦⠎	⡕⢎
冗	⠨⠦⠄	⠥⣈
剰	⠸⠜⠓	⡕⡞
城	⠨⠦⠳	⡳⣎
場	⠨⠦⠗	⡳⢨
壌	⠸⠜⠗	⡳⣮
嬢	⠨⠦⠊	⣓⣮
常	⠨⠦⠝	⣁⢮
情	⠨⠦⠓	⠳⢾
条	⠨⠦⠣	⢳⢎
浄	⠨⠦⠱	⢱⢼
状	⠨⠦⠑	⣗⢞
畳	⠸⠜⠕	⡣⢼
蒸	⠸⠜⠽	⢓⡎
譲	⠨⠦⠬	⡥⣮
醸	⠸⠜⠡	⢷⣮
錠	⠨⠦⠡	⢃⡸
嘱	⠠⠻⠚	⠷⣮
飾	⠠⠻⠡	⢷⣚
拭		⡷⠤⣬
植	⠠⠻⠉	⣷⢎
殖	⠠⠻⠭	⣕⣾
織	⠠⠻⠊	⠇⣌
職	⠠⠻⠅	⣧⣌
色	⠠⠻⠃	⢧⠊
触	⠠⠻⠱	⣥⣺
食	⠠⠻⠕	⢷
辱	⠠⠶⠥	⢧⠼
尻		⡵⢨
伸	⠸⠳⠎	⢑⢮
信	⠸⠳⠇	⡃⠞
侵	⠸⠍⠊	⢑⡬
唇	⠸⠳⠩	⠵⠾
娠	⠸⠔⠊	⣓⠼
寝	⠸⠳⠏	⠥⡬
審	⠸⠳⠉	⠓⡜
心	⠸⠳⠪	⢥
慎	⠸⠍⠝	⠳⣾
振	⠸⠍⠭	⡷⠼
新	⠸⠳⠁	⣣⡨
森	⠸⠳⠾	⢇⠚
浸	⠸⠳⠧	⢱⡬
深	⠸⠳⠭	⡇⢺
申	⠸⠍⠾	⠡⢮
真	⠸⠳⠵	⠃⣾
神	⠸⠳⠡	⡗⢮
紳	⠸⠳⠃	⠇⢮
臣	⠸⠍⠁	⠑⢺
芯		⢓⠤⢬
薪	⠸⠍⠕	⢓⣪
親	⠸⠳⠊	⣣⣾
診	⠸⠍⠷	⡥⠚
身	⠸⠳⠷	⣧⠊
辛	⠸⠍⠡	⠵⣪
進	⠸⠳⠹	⣇
針	⠸⠳⠥	⢃⠼
震	⠸⠔⠭	⡧⠼
人	⠸⠦⠧	⡃
仁	⠸⠦⠇	⢑
刃	⠸⠦⠥	⠃⡚
尋	⠸⠦⠕	⠷⢮
甚	⠸⠦⠅	⠃⢎
尽	⠸⠦⠝	⣓⣸
腎		⢅⡬
迅	⠸⠦⠉	⣃⠼
陣	⠸⠦⠍	⢣⣺
須		⠓⢺
酢	⠲⠱⠹	⢷⢪
図	⠰⠲⠇	⣥⣈
吹	⠰⠹⠭	⠷⣨
垂	⠰⠹⠕	⠥⡎
帥	⠰⠹⠥	⢧⢌
推	⠰⠹⠊	⡷⠎
水	⠰⠹⠷	⡇
炊	⠰⠹⠧	⣱⣨
睡	⠰⠹⠅	⣷⡎
粋	⠰⠹⠪	⡕⠼
衰	⠰⠹⠚	⠥⡞
遂	⠰⠹⠎	⠅⢼
酔	⠰⠹⠜	⢷⠼
随	⠨⠲⠍	⢣⠪
髄	⠨⠲⠮	⢅⠪
崇	⠨⠹⠔	⡑⡞
数	⠨⠹⠡	⢡
枢	⠨⠹⠣	⢇⢺
据	⠠⠪⠹	⡷⡵⠊
杉	⠸⠱⠹	⢥⠚
裾		⡗⡵⠊
澄	⠨⠗⠹	⡇⡼
寸	⠸⠙⠄	⢡⢮
世	⠨⠻⠜	⠵⡸
瀬	⠨⠑⠻	⢱⢨
畝	⠰⠮⠛	⡣⢺
是	⠰⠐⠧	⣳⡸
凄		⢣⢸
制	⠰⠻⠓	⢷⡚
勢	⠨⠻⠊	⣱⡚
姓	⠰⠻⠊	⣓⠎
征	⠰⠻⠎	⣑⠎
性	⠨⠻⠓	⠳
成	⠨⠻⠅	⢷⣎
政	⠨⠻⠎	⣡⢸
整	⠨⠻⠎	⣡⢨
星	⠨⠻⠮	⣳⠎
晴	⠨⠻⠥	⣳⢾
正	⠨⠻⠕	⣡⠎
清	⠨⠻⠣	⢱⢾
牲	⠰⠻⠁	⢵⠎
生	⠨⠻⠃	⢷⠎
盛	⠨⠻⠱	⢷⢌
精	⠰⠻⠪	⡕⢾
聖	⠨⠻⠷	⣧⣞
声	⠨⠻⠪	⣧⡜
製	⠨⠻⠺	⢷⡞
西	⠨⠻⠇	⠱⡎
誠	⠨⠻⠵	⠗⣎
誓	⠨⠻⠗	⠗⡨
請	⠰⠻⠅	⡥⢾
逝	⠨⠻⠬	⣇⡾
醒		⢷⣳⠎
青	⠨⠻⠁	⢧⢾
静	⠨⠻⠳	⢷⠬
斉	⠨⠻⠔	⢣⣈
税	⠨⠶⠎	⡕⠬
隻	⠲⠻⠅	⠇⡬
席	⠲⠻⠥	⡱⢾
惜	⠲⠻⠊	⠳⡞
戚		⣇⠚
斥	⠲⠻⠎	⠃⡨
昔	⠲⠻⠽	⣳⡞
析	⠲⠻⠣	⢇⠜
石	⠲⠻⠃	⣣
積	⠲⠻⠝	⡕⡨
籍	⠲⠻⠕	⡧⡞
績	⠲⠻⠎	⠇⡨
脊		⢅⢘
責	⠲⠻⠻	⣗⡨
赤	⠲⠻⠁	⢧⢊
跡	⠲⠻⠄	⣧⠞
切	⠢⠻⠣	⠷⡚
拙	⠢⠻⠋	⡷⣞
接	⠢⠻⠝	⡷⣪
摂	⠢⠻⠟	⡷⣮
折	⠢⠻⠊	⡷⡨
設	⠢⠻⠾	⠗⡜
窃	⠢⠻⠁	⠓⠾
節	⠢⠻⠭	⡧⢪
説	⠢⠻⠎	⠗⠬
雪	⠢⠻⠬	⡧⢾
絶	⠢⠐⠕	⡅⢮
舌	⠢⠐⠳	⠷⢾
仙	⠸⠝⠇	⢑⡑⠊
先	⠸⠻⠱	⡳⣈
千	⠸⠻⠗	⢡⢾
占	⠸⠻⠎	⠷⡼
宣	⠸⠻⠉	⠓⣌
専	⠸⠻⠾	⠑⡾
川	⠸⠻⠡	⢃⠊
戦	⠸⠻⠕	⠷⣬
扇	⠸⠻⠊	⡵⣺
栓	⠸⠻⠣	⢇⠧⣞
泉	⠸⠻⠷	⣳⢸
浅	⠸⠻⠁	⡇⣬
洗	⠸⠻⠑	⡇⣈
染	⠸⠻⠺	⢱⢎
潜	⠸⠻⠧	⢱⢞
煎		⣱⠪
旋	⠸⠻⠮	⣕⡸
線	⠸⠻⠃	⠇⢸
繊	⠸⠝⠃	⠇⣮
羨		⢵⣨
腺		⢅⣳⢸
船	⠸⠻⠭	⣓⠞
薦	⠸⠻⠹	⢓⢼
詮		⡥⠮
践	⠸⠻⠄	⣧⣬
選	⠸⠻⠋	⣇⢜
遷	⠸⠻⠥	⣃⢪
銭	⠸⠻⠇	⢃⣬
鮮	⠸⠝⠁	⢷⢼
前	⠸⠶⠋	⠣⡚
善	⠸⠶⠜	⢵⠾
漸	⠸⠶⠱	⡇⡨
然	⠸⠶⠄	⢗⣸
全	⠸⠶⠵	⠧⣞
禅	⠸⠶⠳	⡗⠾
繕	⠸⠶⠝	⠇⢾
膳		⢅⠾
塑	⠰⠸⠗	⡳⣊
措	⠰⠸⠋	⡷⡞
曽		⠑⢼
狙		⢗⠚
疎	⠰⠸⠎	⡱⢨
礎	⠰⠸⠃	⣣⢎
祖	⠰⠸⠳	⡗⢼
租	⠰⠸⠎	⡕⢼
粗	⠰⠸⠁	⢵⡜
素	⠰⠸⠹	⣗⡌
組	⠰⠸⠩	⠇⢼
訴	⠰⠸⠉	⡥⡨
阻	⠰⠸⠥	⢣⢼
遡		⣇⠣⣊
僧	⠨⠺⠇	⢑⢼
創	⠨⠺⠓	⠕⡚
双	⠨⠺⠭	⡥⡬
倉	⠨⠺⠑	⠧⠜
喪	⠨⠺⠾	⠵⡞
壮	⠨⠉⠑	⣗⡺
奏	⠨⠺⠡	⢗⢞
爽		⡃⠤⣾
層	⠨⠺⠏	⡵⢼
想	⠨⠺⠪	⢇⢬
捜	⠨⠺⠱	⡷⠞
掃	⠨⠉⠥	⡷⠮
挿	⠨⠉⠱	⢵⡾
操	⠨⠺⠋	⡷⠚
早	⠨⠺⠔	⣳⠼
曹	⠨⠉⠧	⠃⢼
巣	⠨⠺⠹	⢃⢎
槽	⠨⠺⠣	⢇⠃⢼
燥	⠨⠺⠧	⣱⠚
争	⠨⠺⠺	⢵⠬
痩		⡑⠞
相	⠨⠺⠁	⢇⣾
窓	⠨⠺⠵	⠥⢜
総	⠨⠺⠃	⠇⢜
草	⠨⠺⠩	⢓
荘	⠨⠺⠻	⢓⣞
葬	⠨⠺⠮	⢓⡼
藻	⠨⠉⠾	⢥⠤⡎
装	⠨⠺⠜	⡳⡞
走	⠨⠺⠥	⣃
送	⠨⠺⠊	⣇⢞
遭	⠨⠉⠁	⣇⢼
霜	⠨⠺⠳	⡧⢎
騒	⠨⠺⠄	⢵⣺
像	⠨⠴⠇	⢑⢈
増	⠨⠴⠵	⡳⢼
憎	⠨⠴⠩	⠳⢼
臓	⠨⠴⠙	⠣⢺
蔵	⠨⠴⠑	⢓⢺
贈	⠨⠴⠊	⡡⢼
造	⠨⠴⠝	⣃⢚
促	⠲⠺⠉	⡃⣮
側	⠲⠺⠡	⢑⡚
則	⠲⠺⠓	⡡⡚
即	⠲⠺⠍	⢳⢪
息	⠲⠺⠃	⣷⢬
捉		⡷⣧⠌
束	⠲⠺⠕	⢇⢨
測	⠲⠺⠥	⢱⡚
足	⠲⠺⠁	⣧⠌
速	⠲⠺⠔	⣇⢨
俗	⠲⠴⠇	⡃⡪
属	⠲⠴⠏	⡵⣮
賊	⠲⠴⠛	⡡⣮
族	⠲⠴⠮	⣕⡘
続	⠲⠴⠝	⠇⡺
卒	⠢⠺⠚	⠕⠼
袖		⡗⠘
存	⠸⠺⠪	⠵⢜
孫	⠸⠺⠵	⢕⡌
尊	⠸⠺⠎	⢷⢮
損	⠸⠺⠺	⡷⠾
村	⠸⠺⠽	⢇⢮
遜		⣇⢕⡌
他	⠠⠨⠇	⡃⡮
多	⠠⠨⠊	⣕⣜
太	⠨⠕⠭	⠅⢞
汰		⢱⠌
唾		⠷⠤⡎
堕	⠰⠈⠗	⡳⠪
妥	⠰⠈⠊	⣓⣈
惰	⠰⠈⠓	⠳⠪
打	⠰⠈⠉	⡷⡾
駄	⠰⠈⠵	⢗⢼
体	⠨⠕⠑	⡃⢈
堆		⡳⠎
対	⠨⠕⠄	⡣⠎
耐	⠨⠕⠕	⡕⢮
帯	⠨⠕⠊	⢧⡸
待	⠨⠕⠵	⣑⢮
怠	⠨⠕⠅	⡃⢬
態	⠨⠕⠪	⠣⢬
戴		⣧⡪
替	⠨⠕⠧	⣳⢞
泰	⠨⠕⠷	⢗⡎
滞	⠨⠕⠎	⡇⡸
胎	⠨⠕⠙	⢅⡊
袋	⠨⠕⠚	⡗⣬
貸	⠨⠕⠡	⡡⣬
退	⠨⠕⠳	⣇⡘
逮	⠨⠕⠥	⣇⣘
隊	⠨⠕⠍	⢵⢪
代	⠨⠈⠇	⢑⣬
台	⠨⠈⠚	⠑⡊
大	⠨⠈⠊	⠱⢞
第	⠨⠈⠕	⡧⣘
題	⠨⠈⠑	⠕⣌
滝	⠨⠚⠕	⡇⢬
卓	⠲⠕⠚	⣳⡼
宅	⠲⠕⠉	⠓⡊
択	⠲⠕⠟	⡷⡪
拓	⠲⠕⠋	⣣⡾
沢	⠲⠕⠱	⡣⡎
濯	⠲⠕⠹	⡑⡎
託	⠲⠕⠅	⠗⡊
濁	⠲⠈⠇	⢱⣺
諾	⠲⠈⠅	⠗⢨
但	⠲⠸⠕⠧	⡃⣌
達	⠢⠕⠥	⣇⡪
奪	⠢⠈⠉	⢗⠎
脱	⠢⠈⠍	⢅⠬
棚	⠲⠎⠣	⢇⢌
谷	⠲⠪⠕	⡣⠊
誰		⠗⠎
丹	⠸⠕⠄	⣓⠘
単	⠸⠕⠃	⠷⠾
嘆	⠸⠕⠅	⠷⢚
担	⠸⠕⠇	⡷⣌
探	⠸⠕⠱	⡷⢺
旦		⠑⣌
淡	⠸⠕⠁	⡇⣸
炭	⠸⠕⠹	⡑⣸
短	⠸⠕⠷	⡵⡘
端	⠸⠕⠥	⣣⡜
綻		⠇⠒⡸
胆	⠸⠕⠙	⢅⣌
誕	⠸⠕⠪	⠗⣊
鍛	⠸⠕⠣	⢃⡜
団	⠸⠈⠇	⣥⡾
壇	⠸⠈⠗	⣁⣬
弾	⠸⠈⠧	⣑⠾
断	⠸⠈⠕	⡡⡜
暖	⠸⠈⠁	⣳⢘
段	⠸⠈⠃	⠑⡜
男	⠸⠈⠊	⡣⡚
談	⠸⠈⠅	⠗⣸
値	⠠⠸⠁	⡃⣾
知	⠠⠸⠳	⡑⠾
地	⠰⠦⠗	⡳⡮
恥	⠠⠸⠥	⣧⢬
池	⠠⠸⠃	⡇⡮
痴	⠠⠸⠔	⡑⡘
稚	⠠⠸⠎	⡕⠎
置	⠠⠸⠊	⢳⣾
致	⠠⠸⠕	⢱⣘
遅	⠠⠸⠩	⣇⡼
築	⠲⠗⠣	⡧⣈
畜	⠲⠗⠛	⣁⡪
竹	⠲⠗⠕	⡧
蓄	⠲⠗⠄	⢓⡪
逐	⠲⠗⠥	⣃⢼
秩	⠢⠗⠎	⡕⢞
窒	⠢⠗⠁	⠥⣘
茶	⠠⠕⠩	⢥⢎
嫡	⠠⠗⠊	⣓⠜
着	⠠⠗⠝	⣷⢼
中	⠠⠝⠅	⠱⠬
仲	⠠⠝⠡	⡃⠬
宙	⠠⠝⠉	⠓⠘
忠	⠠⠝⠚	⠥⢬
抽	⠠⠝⠋	⡷⠘
昼	⠠⠝⠧	⡣⣌
柱	⠠⠝⠥	⢇⣞
注	⠠⠝⠺	⡇⣞
虫	⠠⠝⠽	⣳⠊
衷	⠠⠝⠪	⠃⡞
酎		⢷⠰⢮
鋳	⠠⠝⠃	⢃⢮
駐	⠠⠝⠵	⢵⣞
著	⠠⠎⠃	⡵⢚
貯	⠠⠎⠛	⡡⡾
丁	⠨⠗⠄	⢡⡾
兆	⠨⠗⠣	⢡⠬
帳	⠢⠔⠥	⢧⡼
庁	⠨⠗⠏	⡱⠼
弔	⠨⠗⠑	⣑⠨
張	⠨⠗⠥	⣑⡼
彫	⠨⠗⠮	⣥⠚
徴	⠨⠗⠎	⣑⡘
懲	⠢⠔⠪	⣑⢬
挑	⠢⠔⠃	⡷⢡⠬
朝	⠨⠗⠁	⠵⢌
潮	⠢⠔⠳	⡇⣌
町	⠨⠗⠵	⡣⡾
眺	⠢⠔⠅	⣷⠚
聴	⠢⠔⠣	⣧⠼
腸	⠨⠗⠙	⢅⢨
調	⠨⠗⠳	⡥⡺
超	⠨⠗⠪	⣃⡚
跳	⠢⠔⠎	⣧⠬
長	⠨⠗⠅	⠑⡼
頂	⠨⠗⠃	⠕⡾
鳥	⠨⠗⠎	⢷⠊
勅	⠠⠟⠗	⡓⢨
捗		⣡⡾
直	⠠⠟⠅	⠵⣾
朕	⠸⠗⠙	⠣⢞
沈	⠸⠗⠳	⢱⣈
珍	⠸⠗⠿	⣗⠚
賃	⠸⠗⠛	⡡⡎
鎮	⠸⠗⠡	⢃⣾
陳	⠸⠗⠍	⢣⣎
津	⠸⠳⠝	⢱⣚
墜	⠢⠝⠗	⢵⡺
椎		⢥⠤⠎
追	⠢⠝⠊	⣇⠪
痛	⠨⠝⠃	⡑⡺
通	⠨⠝⠎	⣃⡺
塚	⠨⠗⠝	⡳⠚
漬	⠢⠍⠝	⢱⠜
潰	⠨⠡⠱	⡇⠤⡨
坪	⠨⠯⠝	⠧⡺
爪		⢅⡺
釣	⠢⠔⠝	⢃⣼
鶴		⠱⢾
亭	⠠⠿⠅	⢁⡾
低	⠨⠟⠧	⠱⣨
停	⠠⠿⠇	⢑⡾
偵	⠠⠿⠧	⢑⡼
貞	⠨⠟⠛	⡡⡼
呈	⠨⠟⠚	⠷⣞
堤	⠨⠟⠝	⡳⡸
定	⠨⠟⠱	⠓⡸
帝	⠨⠟⠥	⣣⢮
底	⠨⠟⠺	⡱⣨
庭	⠨⠟⠇	⡱⣞
廷	⠨⠟⠁	⣃⣞
弟	⠨⠟⠊	⣑⠬
抵	⠠⠿⠋	⡷⣨
提	⠨⠟⠋	⡷⡸
程	⠨⠟⠮	⡕⣞
締	⠨⠟⠳	⠇⣪
艇	⠨⠟⠭	⣓⣞
訂	⠨⠟⠅	⠗⡾
諦		⠗⣪
逓	⠠⠿⠥	⣇⢺
邸	⠨⠟⠍	⣵⢪
泥	⠨⠐⠚	⡇⢘
摘	⠲⠟⠝	⡷⠜
敵	⠲⠟⠎	⠕⢸
滴	⠲⠟⠳	⡇⠜
的	⠲⠟⠵	⣳⣼
笛	⠲⠟⠭	⡣⡮
適	⠲⠟⠥	⣇⠜
溺		⡇⣑⣘
哲	⠢⠟⠚	⠷⡨
徹	⠢⠟⠎	⣑⠪
撤	⠢⠟⠋	⡷⠪
迭	⠢⠟⠥	⣃⢞
鉄	⠢⠟⠡	⢃⢞
典	⠸⠟⠥	⡣⠮
填		⡳⠃⣾
天	⠸⠟⠁	⠃⢞
展	⠸⠟⠏	⡵⡼
店	⠸⠟⠷	⡱
添	⠸⠟⠺	⢱⠺
貼		⡡⣊
転	⠸⠟⠪	⣳⡾
点	⠸⠟⠄	⠷⣸
伝	⠸⠐⠝	⡃⡾
殿	⠸⠐⠎	⢕⡜
田	⠸⠐⠕	⡣
電	⠸⠐⠃	⡧⢬
吐	⠠⠾⠥	⠷⡺
塗	⠠⠾⠍	⡇⡺
妬		⣓⠤⣪
徒	⠠⠾⠎	⣑⣊
